date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:05	8059/8059	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:59:03%20GMT	http://schema.geolink.org/1.0/pattern/propertyvalue.html	mirror/schema.geolink.org/1.0/pattern/propertyvalue.html	(from http://schema.geolink.org/patterns/index.html)
21:59:09	4640/4640	---M--	200	added ('OK')	text/xml	etag:%2245e0124-1220-5465714588d40%22	http://schema.geolink.org/1.0/pattern/propertyvalue.owl	mirror/schema.geolink.org/1.0/pattern/propertyvalue.owl	(from http://schema.geolink.org/patterns/index.html)
21:59:09	344/344	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:59:07%20GMT	http://schema.geolink.org/1.0/pattern/trajectory	mirror/schema.geolink.org/1.0/pattern/trajectory	(from http://schema.geolink.org/patterns/index.html)
21:59:15	340/340	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:59:13%20GMT	http://schema.geolink.org/1.0/pattern/vessel	mirror/schema.geolink.org/1.0/pattern/vessel.3b.delayed	(from http://schema.geolink.org/patterns/index.html)
21:59:17	24728/24728	---M--	200	added ('OK')	text/xml	etag:%2245e0123-6098-5480931440480%22	http://schema.geolink.org/1.0/pattern/trajectory.owl	mirror/schema.geolink.org/1.0/pattern/trajectory.owl	(from http://schema.geolink.org/patterns/index.html)
21:59:17	17423/17423	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:59:15%20GMT	http://schema.geolink.org/1.0/pattern/vessel.html	mirror/schema.geolink.org/1.0/pattern/vessel.html	(from http://schema.geolink.org/patterns/index.html)
21:59:21	10073/10073	---M--	200	added ('OK')	text/xml	etag:%2245e0126-2759-547852d5f5c40%22	http://schema.geolink.org/1.0/pattern/vessel.owl	mirror/schema.geolink.org/1.0/pattern/vessel.owl	(from http://schema.geolink.org/patterns/index.html)
21:59:21	335/335	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:59:19%20GMT	http://schema.geolink.org/dev/voc/local	mirror/schema.geolink.org/dev/voc/local	(from http://schema.geolink.org/voc/index.html)
21:59:25	40459/40459	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:59:09%20GMT	http://schema.geolink.org/1.0/pattern/trajectory.html	mirror/schema.geolink.org/1.0/pattern/trajectory.html	(from http://schema.geolink.org/patterns/index.html)
21:59:33	42125/42125	---M--	200	added ('OK')	text/xml	etag:%224600169-a48d-529c0365bd180%22	http://schema.geolink.org/1.0/voc/local.owl	mirror/schema.geolink.org/1.0/voc/local.owl	(from http://schema.geolink.org/voc/index.html)
21:59:35	344/344	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:59:33%20GMT	http://schema.geolink.org/1.0/voc/dataone/format	mirror/schema.geolink.org/1.0/voc/dataone/format	(from http://schema.geolink.org/voc/index.html)
